id,data_source,question,passed,success,row_count,wall_time,sql_contains_ok,sql,error
sqlite_dept_count,sqlite_demo,统计每个部门分别有多少名员工。,True,True,3,1.716,True,"SELECT
  department_id,
  COUNT(id) AS employee_count
FROM employees
GROUP BY
  department_id
LIMIT 1000",
sqlite_avg_salary_by_dept,sqlite_demo,统计每个部门的平均工资，按平均工资从高到低排序。,True,True,3,0.879,True,"SELECT
  department_id,
  AVG(salary) AS average_salary
FROM employees
GROUP BY
  department_id
ORDER BY
  average_salary DESC
LIMIT 1000",
sqlite_high_salary_employees,sqlite_demo,列出工资高于 8000 的员工姓名、部门和工资。,True,True,6,1.629,True,"SELECT
  name,
  department_id,
  salary
FROM employees
WHERE
  salary > 8000
LIMIT 1000",
sqlite_department_sales,sqlite_demo,按部门统计销售额总和，显示部门名称和总销售额。,True,True,2,1.293,True,"SELECT
  d.name AS department_name,
  SUM(s.amount) AS total_sales
FROM sales AS s
JOIN employees AS e
  ON s.employee_id = e.id
JOIN departments AS d
  ON e.department_id = d.id
GROUP BY
  d.name
LIMIT 1000",
mysql_address_type_count,mysql_police_address,统计每个地址类型的记录数量。,True,True,1,1.054,True,"SELECT
  address_type,
  COUNT(*) AS record_count
FROM addr_standard_address
GROUP BY
  address_type
LIMIT 1000",
mysql_district_address_count,mysql_police_address,按行政区划统计地址记录数量，按数量降序排列。,True,True,1,1.46,True,"SELECT
  province_code,
  city_code,
  district_code,
  COUNT(*) AS address_count
FROM addr_standard_address
GROUP BY
  province_code,
  city_code,
  district_code
ORDER BY
  address_count DESC
LIMIT 1000",
mysql_person_current_address,mysql_police_address,查询张三当前住址对应的标准地址。,True,True,2,2.881,True,"SELECT
  sa.full_address
FROM person_basic AS pb
JOIN person_address_relation AS par
  ON pb.person_code = par.person_code
JOIN house_info AS hi
  ON par.house_code = hi.house_code
JOIN addr_standard_address AS sa
  ON hi.std_address_code = sa.std_address_code
WHERE
  pb.name = '张三' AND par.is_current = 1
LIMIT 1000",
mysql_address_alias_search,mysql_police_address,查询包含人民路的地址别名及对应标准地址。,True,True,0,1.616,True,"SELECT
  aa.alias_name,
  sa.full_address
FROM addr_alias AS aa
JOIN addr_standard_address AS sa
  ON aa.std_address_code = sa.std_address_code
WHERE
  aa.alias_name LIKE '%人民路%'
LIMIT 1000",
postgres_exchange_stock_count,postgres_stock,统计每个交易所的股票数量。,True,True,2,1.203,True,"SELECT
  exchange_code,
  COUNT(DISTINCT symbol) AS stock_count
FROM stock_symbols
GROUP BY
  exchange_code
LIMIT 1000",
postgres_top_volume,postgres_stock,成交量最高的前 10 只股票是哪些？,True,True,10,1.3,True,"SELECT
  s.symbol,
  s.chinese_name,
  sd.volume AS highest_volume
FROM stock_daily_prices AS sd
JOIN stock_symbols AS s
  ON sd.symbol = s.symbol
ORDER BY
  sd.volume DESC
LIMIT 10",
postgres_apple_latest_close,postgres_stock,苹果公司最新收盘价是多少？,True,True,1,1.518,True,"SELECT
  sdp.close_price AS 最新收盘价
FROM stock_symbols AS ss
JOIN stock_daily_prices AS sdp
  ON ss.symbol = sdp.symbol
WHERE
  ss.chinese_name = '苹果公司'
ORDER BY
  sdp.trade_date DESC
LIMIT 1",
postgres_leveraged_etf,postgres_stock,哪些是杠杆 ETF？显示代码、名称、杠杆倍数和底层资产。,True,True,2,4.354,True,"SELECT
  s.symbol AS 代码,
  s.chinese_name AS 名称,
  sedm.leveraged_ratio AS 杠杆倍数,
  sedm.underlying_asset AS 底层资产
FROM stock_symbols AS s
JOIN stock_etp_metadata AS sedm
  ON s.symbol = sedm.symbol
WHERE
  sedm.etp_type = 'ETF' AND sedm.leveraged_flag = TRUE
LIMIT 1000",
postgres_inverse_etf,postgres_stock,哪些是反向 ETF？显示代码、名称和底层资产。,True,True,1,1.346,True,"SELECT
  s.symbol AS 代码,
  s.chinese_name AS 名称,
  sed.underlying_asset
FROM stock_symbols AS s
JOIN stock_etp_metadata AS sed
  ON s.symbol = sed.symbol
WHERE
  sed.inverse_flag = TRUE
LIMIT 1000",
postgres_sic_parent,postgres_stock,SIC 3571 行业以及它的上级行业是什么？,True,True,1,2.459,True,"WITH industry_tree AS (
  SELECT
    sic_code,
    chinese_name,
    parent_sic_code
  FROM stock_industry_classification
  WHERE
    sic_code = '3571'
)
SELECT
  t1.chinese_name AS current_industry,
  COALESCE(t2.chinese_name, '无上级行业') AS upper_industry
FROM industry_tree AS t1
LEFT JOIN stock_industry_classification AS t2
  ON t1.sic_code = t2.parent_sic_code
LIMIT 1000",
gauss_city_customer_count,gauss_ecommerce,统计每个城市的客户数量，按数量降序排列。,True,True,5,1.1,True,"SELECT
  city,
  COUNT(id) AS customer_count
FROM customers
GROUP BY
  city
ORDER BY
  customer_count DESC
LIMIT 1000",
gauss_top_customers_amount,gauss_ecommerce,列出每个客户的总消费金额，按金额降序取前 10 名。,True,True,5,1.965,True,"WITH CustomerTotalSpending AS (
  SELECT
    customer_id,
    SUM(total_amount) AS total_spent
  FROM orders
  GROUP BY
    customer_id
)
SELECT
  c.id AS customer_id,
  c.name AS customer_name,
  ct.total_spent
FROM customers AS c
JOIN CustomerTotalSpending AS ct
  ON c.id = ct.customer_id
ORDER BY
  ct.total_spent DESC
LIMIT 10",
gauss_iphone_customers,gauss_ecommerce,查找买过 iPhone 15 Pro 的客户姓名和城市。,True,True,0,1.564,True,"SELECT DISTINCT
  c.name,
  c.city
FROM customers AS c
JOIN orders AS o
  ON c.id = o.customer_id
JOIN order_items AS oi
  ON o.id = oi.order_id
JOIN products AS p
  ON oi.product_id = p.id
WHERE
  p.name = 'iPhone 15 Pro'
LIMIT 1000",
